Count,Dataset,Session,Movie,Location,Coordinate_y,Coordinate_x,GT_u,GT_v,Resp_u_mean,Resp_v_mean,Resp_u_std,Resp_v_std
,1,2,2,1,251,106,-9.25,-1.78125,-15.64349283,-7.946950914,25.34956088,9.000315283
,1,2,2,2,198,440,-2.390625,-0.53125,-1.096324342,-2.955283432,2.376740261,2.006270454
,1,2,2,3,256,473,-2.78125,-1.9375,-2.749531744,-4.040316787,2.868216757,1.531730135
,1,2,2,4,192,589,-13.109375,-0.765625,-5.618597238,-4.435929179,5.349366509,1.996033632
,1,2,2,5,289,595,-0.328125,-3.640625,-0.544720778,-4.654513721,0.652225627,2.143039643
,1,2,2,6,181,633,-13.1875,-0.59375,-6.833135959,-3.44683584,4.672285824,1.664123346
,1,2,2,7,178,860,-8.46875,-0.296875,-6.2685839,-1.989553707,4.972799589,2.022244136
,1,2,2,8,260,876,6.125,-2.015625,4.354781216,-4.042560768,2.889713227,2.826393643
,1,2,2,9,186,1044,11.25,-0.328125,3.967272112,-2.878784196,6.99947224,3.07456165
,1,2,2,10,202,1061,10.546875,-0.640625,6.368122756,-2.340148613,2.228620789,2.923515094
,1,3,1,1,173,306,-19.265625,-0.578125,-8.474089738,-0.616395816,2.961124291,2.862580287
,1,3,1,2,169,418,-9.53125,-0.515625,-4.923569125,0.067596548,5.185066591,2.325062142
,1,3,1,3,232,460,-12.546875,-4.3125,-5.11201569,-3.200748049,3.695071072,4.499467012
,1,3,1,4,252,556,-7.1875,-6.65625,-2.866712943,-3.844392666,2.59662887,3.308118773
,1,3,1,5,207,649,-8.03125,0.078125,-1.16361548,0.257717004,5.755487252,5.256760054
,1,3,1,6,270,664,2.25,-9.90625,1.057794581,-3.951084288,3.122940623,2.505845186
,1,3,1,7,198,703,-9.609375,-0.125,-0.83249662,0.003406615,7.594261997,3.403105935
,1,3,1,8,209,771,2.859375,-2,1.768948285,-0.005331248,8.90745861,3.207671477
,1,3,1,9,246,793,-18.75,2.125,0.200496007,0.282630141,7.096161826,4.087996144
,1,3,1,10,154,819,6.453125,0.234375,7.340633901,0.647711804,4.210379996,2.467920076
,1,3,2,1,202,335,-17.640625,-2.859375,-9.427203587,-4.376432063,3.664226048,2.397681231
,1,3,2,2,170,336,-3.140625,-1.171875,-6.728118129,-1.833351125,2.875644747,2.524178652
,1,3,2,3,196,408,-7.4375,-2,-7.594915662,-3.065090094,2.550534303,3.380752689
,1,3,2,4,256,464,-7.859375,-5.875,-5.014572212,-5.499599735,1.761394395,2.671065735
,1,3,2,5,266,564,-2.265625,-7.34375,-2.157296346,-6.084671956,1.001839041,1.855977076
,1,3,2,6,160,645,1.4375,-0.96875,1.247651877,0.482492124,2.331030672,1.517113163
,1,3,2,7,265,646,3.546875,-7.203125,2.637099448,-5.701274206,1.465623466,2.776693448
,1,3,2,8,151,709,5.203125,-0.03125,4.517583354,0.549028913,2.007504144,2.357709263
,1,3,2,9,255,776,12.734375,-6.59375,5.412792923,-5.647353947,2.955237734,2.880676394
,1,3,2,10,166,883,18.671875,-0.375,8.842528857,-0.04557101,2.846163239,4.540328133
,1,4,1,1,164,286,-12.3125,0.03125,-12.96220435,-0.525294845,2.565034897,1.271760012
,1,4,1,2,155,409,-9.28125,0.890625,-11.55077687,-2.37092445,3.168773201,4.197774073
,1,4,1,3,232,436,-17.59375,-6.203125,-8.091836385,-9.409849098,2.134221583,4.292302561
,1,4,1,4,199,482,-12.75,-2.796875,-8.524589233,-8.374315881,2.196155474,4.396286434
,1,4,1,5,236,568,-1.984375,-4.421875,-3.379122767,-11.26309601,1.473183095,3.333334503
,1,4,1,6,188,592,0.53125,1.421875,0.520206225,3.159110585,0.768343547,1.982844686
,1,4,1,7,246,650,5.0625,-6.15625,4.894708377,-11.8226918,2.668646481,2.219457312
,1,4,1,8,148,667,4.703125,2.25,10.61836226,2.624674896,3.781237806,2.634768433
,1,4,1,9,177,691,6.640625,0.4375,11.86160291,-1.884576408,4.006264676,4.547648225
,1,4,1,10,180,779,8.5625,0.546875,13.15867629,-1.918424029,2.67620969,4.320174339
,1,4,2,1,217,321,-9.09375,-1.859375,-12.2019423,-5.649371799,2.439850491,0.849221837
,1,4,2,2,198,477,-18.875,-3.953125,-7.984946197,-9.533966392,1.576276291,4.031787326
,1,4,2,3,264,516,-7.171875,-7.921875,-4.32800626,-11.16706855,1.343261753,3.972818127
,1,4,2,4,196,525,-5,-1.9375,-8.190101069,-9.042529287,2.476124972,4.235980739
,1,4,2,5,271,579,-2,-9.421875,-1.219225048,-11.56191782,1.106007466,3.904556211
,1,4,2,6,202,621,1.203125,-0.375,1.043185351,3.159003075,0.848894316,2.039833908
,1,4,2,7,261,661,5.390625,-7.671875,4.915471942,-11.2219745,1.209820816,3.422507914
,1,4,2,8,253,715,9.140625,-6.28125,7.662963775,-10.34929635,2.000119903,3.485057915
,1,4,2,9,195,882,9.953125,-0.96875,12.51663972,-2.231587618,3.593894467,3.089015007
,1,4,2,10,173,1068,18.578125,-0.15625,14.08560747,1.215310662,2.794026497,1.095714938
,1,5,1,1,171,239,-17.90625,-1.1875,-14.51355426,-1.591597111,4.131598873,3.174264927
,1,5,1,2,178,343,-5.484375,-1.421875,-9.838562337,-1.632253002,3.580700519,2.384692857
,1,5,1,3,250,492,-9.1875,-7.21875,-8.541427787,-8.400736911,3.09642188,3.054810082
,1,5,1,4,199,538,-4.8125,-2.578125,-7.747475389,-6.856838893,2.121752675,2.982279823
,1,5,1,5,267,574,-3.09375,-10.71875,-2.339036252,-9.647425911,0.925247022,3.796599573
,1,5,1,6,200,624,0.453125,-1.03125,0.163761515,-0.306008778,0.278382018,6.334184801
,1,5,1,7,254,653,4.859375,-8.3125,3.226110853,-8.123707906,1.583017485,3.204777822
,1,5,1,8,156,683,4.75,0.28125,8.347824827,2.406481971,5.049622803,2.294352054
,1,5,1,9,239,740,10.03125,-5.296875,8.784142679,-5.957243014,2.590585076,3.446226824
,1,5,1,10,190,964,15.640625,-1.1875,10.83303979,-0.727556603,4.705333167,2.106046924
,1,5,2,1,201,495,-10.859375,-2.765625,-11.04760603,-7.376206777,4.196064642,3.470069919
,1,5,2,2,191,519,-8.484375,-1.78125,-9.884525593,-6.388243794,4.509826515,2.613368072
,1,5,2,3,237,526,-6.453125,-5.328125,-8.653623549,-8.473117161,3.070943926,3.622845523
,1,5,2,4,188,549,-3,-0.984375,-7.061829403,-4.246947212,3.339311317,3.831110674
,1,5,2,5,247,573,-2.90625,-7.46875,-2.531655069,-9.439315211,1.815635038,3.285571347
,1,5,2,6,253,623,2.359375,-8.875,1.919060574,-9.436442685,1.288325687,2.895866702
,1,5,2,7,197,686,6.25,-1.71875,6.574720468,-5.176194806,2.479356332,3.114235027
,1,5,2,8,244,690,8.9375,-7.15625,7.506095907,-9.238309615,2.596082317,2.693952422
,1,5,2,9,224,802,14.640625,-3.6875,9.867925883,-3.898801195,2.834646188,2.052182355
,1,5,2,10,156,921,13.5625,0.609375,5.205451628,1.323311063,3.127843335,1.811822696
,1,6,1,1,247,266,-9.265625,-2.6875,-10.84850381,-4.224720876,3.857797493,1.407967657
,1,6,1,2,193,315,-5.21875,-0.6875,-9.722344999,-1.809660294,3.827563876,1.162209846
,1,6,1,3,264,399,-7.46875,-3.859375,-8.047644189,-8.049876544,3.085092691,3.122937369
,1,6,1,4,289,478,-5.59375,-6.015625,-5.026310515,-9.419205037,1.976140279,4.175392219
,1,6,1,5,195,510,-8.515625,-1.28125,-7.016139209,-9.349201477,1.849556638,5.290556774
,1,6,1,6,228,541,-6.15625,-4.09375,-5.738917832,-9.081904895,2.272124142,3.759386888
,1,6,1,7,299,568,-0.96875,-7.078125,-0.371866076,-10.27506062,0.907506158,4.048020606
,1,6,1,8,196,605,-0.890625,-0.78125,-3.679666767,-4.699258393,2.269620106,1.289417941
,1,6,1,9,287,730,8.890625,-6.125,5.924914755,-9.708065228,3.078762925,3.777779898
,1,6,1,10,252,837,11.8125,-2.390625,11.389092,-3.712431702,4.102223439,2.202498463
,1,6,2,1,199,365,-9.90625,-1.09375,-15.08944692,-1.176771379,3.137674953,2.735415769
,1,6,2,2,147,509,-14.765625,5.3125,-13.91348868,0.368467342,4.647544294,4.376466854
,1,6,2,3,199,523,-12.4375,-2.734375,-13.76254683,-4.891538575,4.066409184,3.624448753
,1,6,2,4,253,530,-8.234375,-8.640625,-5.676861428,-11.95591097,2.745152429,4.75799418
,1,6,2,5,256,619,2.359375,-9.203125,1.931463129,-13.94217034,2.026529967,4.660246629
,1,6,2,6,258,654,6.640625,-9.484375,5.753298814,-12.91669119,2.354165211,3.477918322
,1,6,2,7,216,690,10.171875,-3.921875,8.554309608,-10.4841527,3.596301596,3.473662859
,1,6,2,8,157,705,4.5625,1.015625,10.50438033,2.882699508,4.302548976,3.017288666
,1,6,2,9,211,775,9.90625,-1.453125,13.91698931,-2.212804685,3.909557797,2.153690187
,1,6,2,10,170,818,12.484375,0.84375,13.2792583,1.670218581,4.589197117,2.15821331
,1,7,1,1,201,495,-10.859375,-2.765625,-7.553006338,-6.885197101,3.994507546,3.553645947
,1,7,1,2,191,519,-8.484375,-1.78125,-5.495028577,-5.06596061,3.426452486,2.77424025
,1,7,1,3,237,526,-6.453125,-5.328125,-6.57142977,-8.831686303,3.185526182,4.178616998
,1,7,1,4,188,549,-3,-0.984375,-5.23417057,-5.164456714,2.972491978,2.863964927
,1,7,1,5,247,573,-2.90625,-7.46875,-3.528895859,-9.895956547,2.610466722,5.956915849
,1,7,1,6,253,623,2.359375,-8.875,0.944303038,-11.8183368,1.741170865,6.277854169
,1,7,1,7,197,686,6.25,-1.71875,4.659471363,-5.705770763,3.440696329,3.802413662
,1,7,1,8,244,690,8.9375,-7.15625,5.479285819,-8.516462937,3.521962426,4.620856353
,1,7,1,9,224,802,14.640625,-3.6875,8.976074455,-7.972546806,4.551911839,4.124625208
,1,7,1,10,156,921,13.5625,0.609375,6.418799286,-0.238634681,6.139874768,1.510853541
,1,7,2,1,225,239,16.328125,0.984375,6.440079756,5.862402288,6.34171275,3.97222102
,1,7,2,2,234,408,6.03125,1.078125,7.137321641,6.741057602,1.922653029,2.408491983
,1,7,2,3,187,415,-13.15625,-1.484375,-3.595801137,-1.592685026,6.851075404,7.544625175
,1,7,2,4,245,502,-10.328125,-7.1875,-5.686386305,-7.819688488,5.247979603,8.49473057
,1,7,2,5,261,586,-2.515625,-11,-1.754578216,-10.57352375,1.406021119,9.416610715
,1,7,2,6,259,656,6.1875,-10.6875,4.533947592,-12.37596721,2.901552886,5.844597218
,1,7,2,7,250,695,9.515625,-8.28125,7.301955354,-12.98231476,3.651080168,2.860916109
,1,7,2,8,233,749,10.28125,-4.453125,9.749926717,-9.765324423,4.761301512,2.849656684
,1,7,2,9,244,800,16.28125,-6.03125,10.3760984,-8.704067381,5.284307536,3.557713958
,1,7,2,10,197,865,13.09375,-1.421875,10.80915002,-3.849124596,3.342606942,4.67546156
,1,8,1,1,158,341,-16.34375,3.71875,-5.82982815,0.492851527,6.138653426,2.82087939
,1,8,1,2,246,455,-12.109375,-3.328125,-5.92427382,-5.356669792,5.615192798,6.553202732
,1,8,1,3,198,491,-17.796875,-0.8125,-6.170598598,-4.245896386,6.260530615,6.485459614
,1,8,1,4,218,519,-13,-4.046875,-5.59744899,-4.726991865,4.668024962,7.695279165
,1,8,1,5,260,559,-5.09375,-6.953125,-3.500688058,-7.750782922,2.907887763,8.773623739
,1,8,1,6,258,640,3.5625,-6.921875,2.892032154,-8.915639029,2.411772856,7.85441268
,1,8,1,7,252,688,7.84375,-5.703125,5.468111961,-6.899034666,5.144779489,8.192706894
,1,8,1,8,174,716,6.046875,1.515625,6.285797187,-0.500121984,5.926110733,3.913893983
,1,8,1,9,197,776,13.953125,-0.390625,5.753017336,-0.324051461,6.27850256,4.88261079
,1,8,1,10,174,990,15.421875,0.609375,5.838039256,0.430462527,7.797429867,3.08622537
,1,8,2,1,223,233,-13.203125,-4.03125,-4.461875459,-1.121423386,6.078153076,2.38608078
,1,8,2,2,272,328,-10,-6.734375,-5.272691419,-2.34901249,6.135450316,4.762076656
,1,8,2,3,283,451,-5.1875,-8.46875,-3.341225899,-3.886092825,4.536956388,5.037037454
,1,8,2,4,196,499,-14.828125,-3.625,-5.86340621,-3.007525442,5.798596041,4.569216126
,1,8,2,5,286,545,0.78125,-9.15625,0.30564535,-5.210778026,2.450453604,5.792421496
,1,8,2,6,276,677,10,-7.703125,3.546711236,-3.819290623,3.892780428,5.187196648
,1,8,2,7,193,707,8.984375,-0.3125,3.16941604,2.905495841,3.863345631,1.859949358
,1,8,2,8,236,840,16.609375,-3.578125,7.67637624,-3.68672286,6.121780982,3.725291078
,1,8,2,9,146,916,18.53125,0.859375,6.940364015,2.300847699,6.218574326,2.097473791
,1,8,2,10,172,1047,16.578125,-0.140625,7.144901348,-0.084809751,9.310322843,4.257127501
,1,9,1,1,192,372,-17.640625,-3.453125,-10.4672552,-6.244358269,3.977115526,2.975692217
,1,9,1,2,222,450,-10.859375,-5.75,-8.647395554,-7.59882199,2.914165319,3.056313263
,1,9,1,3,246,510,-9.640625,-9.84375,-5.947071286,-9.5026128,2.127245305,3.074898231
,1,9,1,4,253,563,-4.9375,-12.234375,-3.914001038,-9.997993409,1.742115729,2.845779285
,1,9,1,5,253,617,1.8125,-11.703125,0.371073589,-10.19061576,1.020762777,2.82823738
,1,9,1,6,242,674,7.375,-9.40625,4.984627341,-10.27291107,2.744630899,2.590655774
,1,9,1,7,183,724,4.484375,-2.9375,7.647110409,-2.857086112,3.861362852,3.830985443
,1,9,1,8,214,802,-5.890625,-4.546875,-9.585778362,0.91597873,5.214505748,2.457356557
,1,9,1,9,163,879,16.296875,-2.21875,11.34972335,-0.477381063,3.639727839,2.975534162
,1,9,1,10,214,911,-1.71875,-5.34375,-8.285611791,-0.883769434,5.25250548,3.306450181
,1,9,2,1,186,294,-12.90625,-0.90625,-7.492623746,-1.528131358,2.024797218,1.784214111
,1,9,2,2,220,385,-8.109375,-2.171875,-6.192214017,-3.372891151,2.411088378,1.946965753
,1,9,2,3,223,479,-3.984375,-2.046875,-4.343452688,-3.501200019,1.792031213,1.889122529
,1,9,2,4,288,506,-4.25,-5.015625,-3.892144272,-6.452907976,0.993223502,1.676736582
,1,9,2,5,202,623,-1.75,-0.5,0.908797337,4.381065528,1.62899982,2.226488446
,1,9,2,6,294,628,0.5,-5.53125,0.828776313,-5.758718131,0.629257789,1.339356129
,1,9,2,7,200,683,6.125,-0.578125,9.99850422,1.55252522,3.933802632,1.780180464
,1,9,2,8,299,741,5.34375,-6.09375,3.997595351,-6.877844397,0.866807704,1.766325151
,1,9,2,9,206,756,8.484375,-0.640625,9.065508392,1.208326134,2.765770237,1.174076997
,1,9,2,10,206,915,15.34375,-2.484375,8.272699065,-3.343014041,2.751569778,2.430771691
,1,10,1,1,214,113,-8.703125,-1.0625,-7.694479821,-3.302789893,2.176566302,2.208028084
,1,10,1,2,289,149,5.546875,0.109375,-0.131782875,0.520053994,5.159889333,5.125532497
,1,10,1,3,251,373,1.328125,-0.328125,0.081426599,0.608774569,4.21577788,3.156565592
,1,10,1,4,305,497,-2.71875,-4.59375,-2.117829427,-5.506570177,0.965101153,1.509214321
,1,10,1,5,301,616,1.078125,-4.515625,0.470172628,-6.287832104,0.736385661,2.598888918
,1,10,1,6,297,713,4.125,-4.3125,2.758207483,-5.985548425,1.069539096,2.104750075
,1,10,1,7,302,798,7.796875,-5.15625,3.534477344,-5.447501899,1.003432188,2.04285278
,1,10,1,8,168,825,7.40625,-0.21875,5.258097627,-2.925102624,2.12100118,4.155651322
,1,10,1,9,258,1020,11.328125,-2.515625,6.858692961,-3.810795669,2.990962,1.337186686
,1,10,1,10,210,1135,12.171875,-1.09375,8.664527116,-2.467381645,1.829024828,1.297447254
,1,10,2,1,206,305,-11.578125,-1.296875,-9.012035922,-2.790401826,1.66586683,1.913712955
,1,10,2,2,195,400,-11.171875,-1.046875,-7.998900551,-3.057961893,1.767782772,2.280263292
,1,10,2,3,291,414,-11.46875,-5.078125,-5.098632471,-5.675259329,1.891162244,2.145946436
,1,10,2,4,209,538,-7.53125,-2.046875,-3.372716017,-5.050826863,1.385973108,3.907178148
,1,10,2,5,298,552,-5.921875,-5.3125,-2.035409717,-6.488014913,1.107815684,2.5694225
,1,10,2,6,191,586,-4.890625,-0.9375,-2.4919142,-4.566784937,1.337944637,4.100123525
,1,10,2,7,297,650,-1.828125,-4.84375,2.007148783,-7.372433915,1.262199095,1.779884675
,1,10,2,8,282,805,4.890625,-4.21875,3.779418607,-6.371426447,1.627932845,2.815889793
,1,10,2,9,220,882,18.53125,-3.28125,7.087792115,-4.388029099,2.11186967,2.437490891
,1,10,2,10,164,1013,11.0625,1.15625,10.75513104,-0.051381644,3.037965179,2.476852142
,1,11,1,1,253,143,-5.890625,-2.78125,-5.445153601,-2.694017414,2.05192478,2.556733836
,1,11,1,2,300,293,-8.328125,-6.640625,-3.054175069,-4.429188521,3.942739362,3.983839594
,1,11,1,3,215,392,-10.78125,-1.359375,-4.812293738,2.144931634,2.555338229,2.54757606
,1,11,1,4,279,526,-10.734375,-0.6875,-3.635079575,1.531760842,4.082295759,2.273391995
,1,11,1,5,204,641,5.671875,-1.703125,5.525115914,-0.371543373,2.048003898,1.073180234
,1,11,1,6,286,647,7.25,-6.21875,3.740084772,-5.347240365,1.897449787,1.566422772
,1,11,1,7,192,858,13.75,-2.140625,7.48226921,-0.864180986,1.873871553,1.819191335
,1,11,1,8,280,859,16.53125,-6.21875,5.592349072,-5.646962636,1.465156033,2.803194428
,1,11,1,9,163,1033,19.140625,-1.328125,7.88681485,0.027819099,2.820782404,1.756408697
,1,11,1,10,179,1121,14.4375,-1.8125,8.236864843,0.458091202,2.490250797,1.319003389
,1,11,2,1,233,327,-16.90625,1.859375,-11.5996116,-6.694789807,4.671483563,2.931873607
,1,11,2,2,260,509,-10.765625,-1.59375,-7.301550632,-7.579244991,3.562526523,3.909222071
,1,11,2,3,295,563,-8.46875,-8.4375,-3.847783411,-10.45942819,1.542871531,4.153247506
,1,11,2,4,226,599,0.09375,4.828125,-1.169396375,-4.216146569,1.920106374,8.157927358
,1,11,2,5,294,647,0.765625,-8.171875,1.684256256,-10.26946264,1.247789832,5.233132125
,1,11,2,6,204,655,0.1875,4.921875,2.354004078,-2.0319381,2.045302159,7.402224259
,1,11,2,7,287,760,13.203125,-7.40625,6.621727487,-10.13368943,2.396286104,4.31522645
,1,11,2,8,230,777,12.390625,-0.3125,8.444055439,-6.515884748,3.702817602,2.294134731
,1,11,2,9,172,821,5.75,4.796875,10.8196171,-3.660034481,4.197397724,2.503552742
,1,11,2,10,196,896,17.671875,3.234375,12.52488409,-3.918262081,4.317409322,1.260922547
,1,12,1,1,210,315,16.75,3.734375,2.26187157,2.817549129,13.11274334,5.974116057
,1,12,1,2,215,388,11.578125,3.5,2.197019269,3.029970467,11.31417829,5.599804652
,1,12,1,3,188,438,-9.515625,1.78125,-7.97463468,-2.59981747,8.834186115,3.747263931
,1,12,1,4,251,523,-13.78125,-8.296875,-5.062625505,-8.70527927,4.141111117,6.700341654
,1,12,1,5,200,540,2.09375,2.171875,2.668907333,3.609785277,4.848880261,4.206743176
,1,12,1,6,260,621,0.625,-12.15625,0.174327096,-11.47177659,0.481999074,5.23832873
,1,12,1,7,255,677,9.1875,-10.453125,2.61419207,-10.79086913,1.348768874,5.833742917
,1,12,1,8,226,743,11.609375,-3.734375,6.394738876,-8.257808438,3.82849587,4.003413431
,1,12,1,9,157,771,7.125,1.578125,10.41538756,-1.160657242,4.741200566,3.588311587
,1,12,1,10,189,793,16.375,-0.46875,10.90688347,-3.54328901,6.125942479,3.352633427
,1,12,2,1,204,247,-15.09375,-1.34375,-9.903091738,-2.729023253,4.163823686,1.491393511
,1,12,2,2,231,280,-11.46875,-2.28125,-7.166324472,-4.113478156,2.32043998,2.037597865
,1,12,2,3,231,405,-6.578125,-1.9375,-5.462508251,-3.769315011,1.767372166,2.200376193
,1,12,2,4,270,461,-11.34375,-7.609375,-4.481238599,-7.530495847,1.979062182,3.284977213
,1,12,2,5,194,486,-2.78125,-0.75,-6.070363727,-7.979172216,13.79701014,25.27969595
,1,12,2,6,275,588,-1.484375,-8.53125,-0.832482647,-9.135130937,0.826946952,3.471004006
,1,12,2,7,297,702,9.84375,-12.8125,3.804881261,-9.83222636,1.709645739,4.39164294
,1,12,2,8,260,745,9.578125,-6,5.895419431,-8.320947129,3.520471819,3.697323392
,1,12,2,9,184,813,16.296875,-0.859375,9.973581513,-5.266618243,4.988219261,4.360086108
,1,12,2,10,147,926,17.875,1.484375,11.62189884,-1.603418831,3.626022892,2.591176611
,2,1,1,1,96,158,-11.60801,0.7704386,-12.02192901,3.298346725,3.257595535,2.221771118
,2,1,1,2,209,210,14.60007,-1.797683,2.649275405,0.754090509,10.69811998,1.235067655
,2,1,1,3,182,314,-17.7056,-2.094435,-4.625549737,-0.080830209,6.206503204,2.439358941
,2,1,1,4,214,384,-4.10922,-3.349929,-2.748170805,-4.854636149,5.312322997,7.036916093
,2,1,1,5,234,437,-1.571701,-4.867979,-1.637369881,-6.5606841,4.178369434,6.099688984
,2,1,1,6,276,452,-5.131773,-5.929441,-4.338508283,-9.812081938,3.127038426,2.919215565
,2,1,1,7,200,534,-0.4355316,-1.580825,-3.192391228,0.340341709,2.310153488,1.245683857
,2,1,1,8,268,584,1.420212,-5.107664,-0.534228686,-9.24967769,0.847105188,3.56134424
,2,1,1,9,246,707,6.305888,-3.190139,4.896735473,-6.766530874,2.778779104,3.576138308
,2,1,1,10,147,815,9.562907,0.6106262,10.04135527,2.411023753,4.189398258,3.052082582
,2,1,2,1,261,248,-10.43397,-2.117263,-9.725593,-6.149456319,5.237752091,4.414753579
,2,1,2,2,208,295,2.101913,-0.2225647,2.747854334,0.145364936,9.538698321,2.113810404
,2,1,2,3,214,430,-18.50092,-1.946059,-9.021392219,-0.534082975,5.281332325,2.266907534
,2,1,2,4,139,445,-4.033475,0.8275064,-2.284415829,1.45023099,6.549060364,2.572196914
,2,1,2,5,274,523,-3.692625,-2.802077,-3.991026331,-6.896000382,2.213274698,3.914660299
,2,1,2,6,199,539,9.297801,0.3937683,3.316038559,2.704063833,11.38063866,2.573369436
,2,1,2,7,191,744,-10.50972,-0.2910461,-4.660679331,0.620382156,9.271654524,2.071399906
,2,1,2,8,257,877,14.2212,-4.05757,8.295823177,-7.338844307,3.63756071,4.395576159
,2,1,2,9,187,919,-8.275249,-0.03994751,-1.209445874,0.067036343,10.38810828,2.113436369
,2,1,2,10,89,930,9.259929,3.247206,5.150384986,2.437884039,4.156852812,2.630203196
,2,2,1,1,124,163,10.62333,0.5992126,-3.105670745,1.285679071,12.47515524,1.45850682
,2,2,1,2,188,292,-10.69908,-1.626479,-11.69443106,-3.443468456,3.556060304,2.231063333
,2,2,1,3,165,368,4.260635,0.1198425,-3.116717748,-4.356978789,7.505269269,4.814186364
,2,2,1,4,216,379,-6.57092,-4.114638,-9.911039026,-7.042334733,3.235528059,2.870391441
,2,2,1,5,138,417,8.691844,0.09701538,5.427560495,-0.587296522,8.091623984,1.479150981
,2,2,1,6,234,467,-3.541135,-7.424664,-2.98137961,-8.095963263,4.531237725,3.858636564
,2,2,1,7,238,557,4.82872,-8.486126,4.414759764,-7.599542282,3.233124274,2.875694758
,2,2,1,8,230,604,9.638652,-6.97949,7.828192525,-7.881610365,3.323455342,2.586378915
,2,2,1,9,206,662,13.16078,-3.441237,10.21815991,-5.690922208,3.866416883,2.394343427
,2,2,1,10,140,778,16.56943,-0.4051819,11.77904943,0.220206765,3.834007247,1.155948153
,2,2,2,1,82,329,-15.81191,6.397398,-9.58692256,5.025898306,3.466147579,1.821292806
,2,2,2,2,208,426,-17.89496,-2.003127,-12.11871526,-3.43966908,3.459489362,3.287902928
,2,2,2,3,247,517,-9.94163,-5.963682,-7.14081312,-8.620923867,2.813047317,2.410198592
,2,2,2,4,84,538,-4.222837,6.294675,-3.463073723,9.607687032,1.500175181,4.20153739
,2,2,2,5,260,610,-0.8899994,-8.725811,-0.185126109,-10.69131917,1.219810083,3.07000577
,2,2,2,6,255,687,7.442058,-7.401836,6.360509848,-9.099871826,2.200759696,2.483380307
,2,2,2,7,82,695,4.601486,6.420225,6.649569084,8.209129863,3.891461646,2.980700626
,2,2,2,8,125,771,11.64588,4.890783,8.985041215,3.945460233,3.825567701,2.275364341
,2,2,2,9,216,842,11.38078,-0.8617249,12.1977869,-0.297163258,3.078288677,2.546982827
,2,2,2,10,148,860,8.729716,2.11724,11.76394289,2.643704524,3.511797583,2.164822637
